seqid	organism	genetic_code	moltype	topology	strand
>NW_021160004.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_025791794.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_011332695.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_021160006.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_019805496.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_019805495.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_017363816.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_025791793.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_019805498.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_021160005.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_021160003.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_019805497.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_013171808.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_021160002.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_025791791.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_009646203.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_013171809.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_018654718.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_021160008.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_011332696.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_009646204.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_025791795.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_018654720.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_015148967.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_018654719.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_011332697.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_019805499.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_021160007.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_021160012.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_011332699.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_013171810.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_021160009.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_009646205.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_011332700.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_013171811.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_021160010.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_021160011.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_011332698.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_021160013.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_025791796.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_018654722.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_021160014.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_018654721.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_011332701.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_021160018.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_021160017.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_012132920.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_025791798.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_021160016.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_025791797.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_021160015.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_025791799.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_013171812.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_019805500.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_017852933.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_021160019.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_013171813.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_018654723.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_012132921.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_025791800.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_017363817.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_021160020.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_016107299.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_017363819.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_025791803.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_025791801.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_017363818.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_019805501.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_025791806.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_025791802.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_025791805.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_021160021.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_025791804.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_019805503.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_014040928.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_019805502.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_013171814.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_018654724.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_025791809.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_025791810.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_025791807.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_021160022.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_014040929.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_025791808.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_009646206.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_016107300.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_016107301.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_016107302.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_016107303.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_016107304.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_016107305.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_016107306.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_016107307.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_016107308.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_016107309.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_016107310.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_016107311.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_016107313.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_016107314.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_016107312.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_025791811.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_025791812.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_021160023.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_025791813.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_025791814.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_025791815.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_021160026.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_021160024.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_009646207.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_014040930.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_014040931.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_009646208.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_015148968.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_021160025.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_015148969.2	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_017363820.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_021160031.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_025791820.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_021160028.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_025791816.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_021160029.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_025791817.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_021160027.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_025791819.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_021160030.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_025791818.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_018654725.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_025791821.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_018654726.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_009646209.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187515.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187517.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187514.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187520.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_003315905.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_003315906.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_003315907.2	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187521.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187519.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187516.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187518.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187525.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187526.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187529.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187522.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_003315908.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187524.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187531.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187530.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187528.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_003571033.2	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_003315909.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187527.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187523.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_003871060.2	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187535.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187537.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_003315913.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187533.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187536.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187538.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187532.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187534.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187539.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187540.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_003315915.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187541.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_167250.2	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187544.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_003315914.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187542.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187545.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187543.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187550.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187548.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187547.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_003315920.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_003571036.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187551.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_003315917.2	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_003315918.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187549.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_003315919.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187546.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_167244.2	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187555.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187554.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_003315921.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187556.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187557.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_004166862.2	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187552.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187553.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187558.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187561.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187559.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_003315922.2	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187562.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187564.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187563.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187560.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187572.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187568.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187565.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187576.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187570.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187577.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187566.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187567.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187574.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187575.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187573.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187571.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187569.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_003315928.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_003315929.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_003315930.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_003315931.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187578.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_003315934.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187579.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_003315935.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187586.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187584.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187585.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187583.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_003315936.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_003871073.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_003871074.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187582.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187581.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_003571049.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_003571050.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187588.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_003315938.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187587.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_003315939.2	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_003315941.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_003315942.2	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187590.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_003315940.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187589.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187591.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187594.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187593.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187597.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187595.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187592.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187596.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187598.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187601.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187599.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187600.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187602.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187604.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187603.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_003315943.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187605.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_003315944.2	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187606.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187610.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187609.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187608.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187607.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_003315945.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_003315946.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_003315952.3	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187613.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187611.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187614.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_003871091.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_003871092.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_003315953.2	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_167251.2	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_003315954.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187615.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187616.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_003315955.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187612.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187618.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_003315956.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_003315959.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_003315960.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_003315957.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_003315958.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_003315961.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187617.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187622.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187621.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_003315962.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_003315964.2	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_003315965.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_003315963.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187619.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187620.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_003571054.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_003315966.2	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187623.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187625.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187624.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_003315967.2	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187628.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187627.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_003315968.2	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_003315969.2	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_003315970.2	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187626.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187629.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187632.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187633.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187630.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NT_187631.1	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
>NW_003315972.2	Severe acute respiratory syndrome coronavirus 2	1	genomic RNA	linear	single
